2025-07-26 21:22:22 - trafficanalyzer.py - INFO - TrafficAnalyzer initialized for interface: wlan0
2025-07-26 21:22:22 - trafficanalyzer.py - INFO - Sniffing thread started on interface: wlan0
2025-07-26 21:22:22 - trafficanalyzer.py - INFO - Traffic analysis started.
2025-07-26 21:22:22 - trafficanalyzer.py - ERROR - An error occurred during sniffing: Interface 'wlan0' not found !
2025-07-26 21:22:22 - trafficanalyzer.py - INFO - Sniffing thread stopped.
2025-07-26 21:22:32 - trafficanalyzer.py - WARNING - Traffic analysis is not running.
2025-07-26 21:22:48 - trafficanalyzer.py - INFO - TrafficAnalyzer initialized for interface: default
2025-07-26 21:22:48 - trafficanalyzer.py - INFO - Sniffing thread started on interface: auto
2025-07-26 21:22:48 - trafficanalyzer.py - INFO - Traffic analysis started.
2025-07-26 21:22:48 - trafficanalyzer.py - INFO - Sniffing thread stopped.
2025-07-26 21:22:58 - trafficanalyzer.py - WARNING - Traffic analysis is not running.
2025-07-26 22:04:09 - trafficanalyzer.py - INFO - TrafficAnalyzer initialized for interface: default
2025-07-26 22:04:09 - trafficanalyzer.py - INFO - Sniffing thread started on interface: auto
2025-07-26 22:04:09 - trafficanalyzer.py - INFO - Traffic analysis started.
2025-07-26 22:04:12 - trafficanalyzer.py - DEBUG - ARP Request detected: {'timestamp': 1753531452.919001, 'sender_ip': '192.168.0.1', 'sender_mac': 'd4:35:1d:89:33:01', 'target_ip': '192.168.0.14'}
2025-07-26 22:04:12 - trafficanalyzer.py - DEBUG - ARP Request detected: {'timestamp': 1753531452.9200284, 'sender_ip': '192.168.0.1', 'sender_mac': 'd4:35:1d:89:33:01', 'target_ip': '192.168.0.175'}
2025-07-26 22:04:12 - trafficanalyzer.py - DEBUG - ARP Request detected: {'timestamp': 1753531452.9210303, 'sender_ip': '192.168.0.1', 'sender_mac': 'd4:35:1d:89:33:01', 'target_ip': '192.168.0.177'}
2025-07-26 22:04:21 - trafficanalyzer.py - DEBUG - ARP Request detected: {'timestamp': 1753531461.725518, 'sender_ip': '192.168.0.1', 'sender_mac': 'd4:35:1d:89:33:01', 'target_ip': '192.168.0.181'}
2025-07-26 22:04:30 - trafficanalyzer.py - DEBUG - ARP Request detected: {'timestamp': 1753531470.0203917, 'sender_ip': '192.168.0.1', 'sender_mac': 'd4:35:1d:89:33:01', 'target_ip': '192.168.0.192'}
2025-07-26 22:04:32 - trafficanalyzer.py - DEBUG - ARP Request detected: {'timestamp': 1753531472.7848742, 'sender_ip': '192.168.0.1', 'sender_mac': 'd4:35:1d:89:33:01', 'target_ip': '192.168.0.25'}
2025-07-26 22:04:32 - trafficanalyzer.py - DEBUG - ARP Request detected: {'timestamp': 1753531472.785861, 'sender_ip': '192.168.0.1', 'sender_mac': 'd4:35:1d:89:33:01', 'target_ip': '192.168.0.78'}
2025-07-26 22:04:41 - trafficanalyzer.py - DEBUG - ARP Request detected: {'timestamp': 1753531481.1814775, 'sender_ip': '192.168.0.1', 'sender_mac': 'd4:35:1d:89:33:01', 'target_ip': '192.168.0.14'}
2025-07-26 22:04:41 - trafficanalyzer.py - DEBUG - ARP Request detected: {'timestamp': 1753531481.1824946, 'sender_ip': '192.168.0.1', 'sender_mac': 'd4:35:1d:89:33:01', 'target_ip': '192.168.0.175'}
2025-07-26 22:04:41 - trafficanalyzer.py - DEBUG - ARP Request detected: {'timestamp': 1753531481.1834939, 'sender_ip': '192.168.0.1', 'sender_mac': 'd4:35:1d:89:33:01', 'target_ip': '192.168.0.177'}
2025-07-27 21:42:08 - trafficanalyzer.py - INFO - TrafficAnalyzer initialized for interface: default
2025-07-27 21:42:08 - trafficanalyzer.py - INFO - Sniffing thread started on interface: auto
2025-07-27 21:42:08 - trafficanalyzer.py - INFO - Traffic analysis started.
2025-07-27 21:42:09 - trafficanalyzer.py - DEBUG - ARP Request detected: {'timestamp': 1753616529.5574968, 'sender_ip': '192.168.0.1', 'sender_mac': 'd4:35:1d:89:33:01', 'target_ip': '192.168.0.50'}
2025-07-27 21:42:15 - trafficanalyzer.py - DEBUG - ARP Request detected: {'timestamp': 1753616535.086532, 'sender_ip': '192.168.0.1', 'sender_mac': 'd4:35:1d:89:33:01', 'target_ip': '192.168.0.177'}
2025-07-27 21:42:16 - trafficanalyzer.py - DEBUG - ARP Request detected: {'timestamp': 1753616536.1100085, 'sender_ip': '192.168.0.1', 'sender_mac': 'd4:35:1d:89:33:01', 'target_ip': '192.168.0.78'}
2025-07-27 21:42:21 - trafficanalyzer.py - DEBUG - ARP Request detected: {'timestamp': 1753616541.7878013, 'sender_ip': '192.168.0.25', 'sender_mac': 'c8:15:4e:42:1f:44', 'target_ip': '169.254.169.254'}
2025-07-27 21:42:22 - trafficanalyzer.py - DEBUG - ARP Request detected: {'timestamp': 1753616542.3654706, 'sender_ip': '192.168.0.25', 'sender_mac': 'c8:15:4e:42:1f:44', 'target_ip': '169.254.169.254'}
2025-07-27 21:42:23 - trafficanalyzer.py - DEBUG - ARP Request detected: {'timestamp': 1753616543.3685448, 'sender_ip': '192.168.0.25', 'sender_mac': 'c8:15:4e:42:1f:44', 'target_ip': '169.254.169.254'}
2025-07-27 21:42:23 - trafficanalyzer.py - DEBUG - ARP Request detected: {'timestamp': 1753616543.8929484, 'sender_ip': '192.168.0.1', 'sender_mac': 'd4:35:1d:89:33:01', 'target_ip': '192.168.0.192'}
2025-07-27 21:42:24 - trafficanalyzer.py - DEBUG - ARP Request detected: {'timestamp': 1753616544.838389, 'sender_ip': '192.168.0.25', 'sender_mac': 'c8:15:4e:42:1f:44', 'target_ip': '169.254.169.254'}
